First Image Number,First Object Number,Second Image Number,Second Object Number,Center_X_First,Center_Y_First,Center_X_Second,Center_Y_Second,Distance,Speed_per_Hour,Acceleration
12,13,13,9,704.0692307692308,71.58461538461539,704.1004784688995,74.16746411483254,2.5830377430302747,2.5830377430302747,-5.076373788912131
13,13,14,12,1016.3228840125392,102.92163009404388,1016.0034364261168,101.48797250859108,1.4688161330804754,1.4688161330804754,-1.1142216099497992
14,13,15,14,1072.0123456790122,116.38271604938272,1076.3589743589744,110.08547008547008,7.6516983481762635,7.6516983481762635,6.182882215095788
15,13,16,13,1050.7170731707315,108.37073170731708,1046.3978494623657,101.76344086021506,7.8937941309048325,7.8937941309048325,0.24209578272856902
17,13,18,12,874.5076335877862,79.09541984732824,877.2330097087379,77.24757281553399,3.2927516841639073,3.2927516841639073,-4.601042446740925
18,13,19,17,1077.6405405405403,99.45945945945944,1064.1034965034964,93.44195804195805,14.814246000741862,14.814246000741862,11.521494316577956
19,13,20,12,727.1276595744681,79.56914893617021,725.2765957446809,80.63829787234043,2.1376428021679525,2.1376428021679525,-12.67660319857391
21,13,22,19,1063.0853658536585,93.45528455284553,1057.8217054263566,83.20930232558139,11.518952769039199,11.518952769039199,9.381309966871246
22,13,23,10,995.6834170854272,64.07035175879398,995.5432098765432,51.07818930041152,12.992918971748628,12.992918971748628,1.4739662027094287
26,13,27,19,1155.179487179487,70.81410256410257,1153.578947368421,79.69736842105263,9.026302674520835,9.026302674520835,-3.9666162972277927
27,13,28,11,993.2208,44.872,977.6892655367232,43.57062146892656,15.585959991771341,15.585959991771341,6.559657317250506
27,13,28,12,993.2208,44.872,990.2722513089004,46.596858638743456,3.416003030946149,3.416003030946149,-12.169956960825193
29,13,30,7,1031.0804597701149,59.71647509578544,1036.635593220339,58.34322033898305,5.7223540852413635,5.7223540852413635,2.3063510542952144
30,13,31,15,630.8912280701754,76.18245614035088,628.5182608695652,75.94608695652174,2.3847104072058634,2.3847104072058634,-3.3376436780355
31,13,32,9,328.301703163017,58.78588807785888,325.0458515283843,52.78384279475983,6.828258741957001,6.828258741957001,4.443548334751137
32,13,33,13,953.0891719745224,57.13375796178344,950.0957446808512,63.680851063829785,7.19896069230541,7.19896069230541,0.37070195034840925
33,13,34,10,950.0957446808512,63.680851063829785,944.4973821989528,64.32460732984293,5.635253730645972,5.635253730645972,-1.5637069616594381
34,13,35,14,936.2133891213388,83.79916317991632,924.7231404958678,94.7603305785124,15.879956052054498,15.879956052054498,10.244702321408525
35,13,36,16,1035.2551020408164,90.14668367346938,1037.4602564102563,84.55,6.015444616480046,6.015444616480046,-9.864511435574451
37,13,38,13,551.07299270073,77.86861313868613,547.2329317269076,70.6987951807229,8.133409975711631,8.133409975711631,2.117965359231585
38,13,39,13,547.2329317269076,70.6987951807229,541.4563492063492,78.14682539682539,9.425606596755317,9.425606596755317,1.2921966210436864
39,13,40,13,541.4563492063492,78.14682539682539,538.5983935742972,88.74698795180723,10.978677360539217,10.978677360539217,1.5530707637839
40,13,41,9,538.5983935742972,88.74698795180723,542.2680412371134,92.21649484536084,5.050127924481523,5.050127924481523,-5.928549436057694
41,13,42,16,453.54430379746833,107.30379746835445,454.46363636363634,110.01818181818182,2.8658427671114146,2.8658427671114146,-2.1842851573701085
43,13,44,8,932.8061224489796,84.44897959183673,940.208695652174,79.4695652173913,8.921471713853338,8.921471713853338,6.055628946741923
46,13,47,14,1135.7798742138364,91.54088050314463,1134.5736434108528,86.25581395348837,5.420970502074506,5.420970502074506,-3.5005012117788317
47,13,48,12,1011.552258064516,73.00516129032258,1002.5250596658713,70.1527446300716,9.467132180981263,9.467132180981263,4.046161678906757
49,13,50,14,902.1247216035634,73.6391982182628,897.2419006479481,82.67386609071275,10.26972073866059,10.26972073866059,0.8025885576793268
51,13,52,11,1061.7122302158273,80.23021582733813,1067.8620689655172,75.79741379310344,7.58091356776365,7.58091356776365,-2.68880717089694
52,13,53,19,947.532710280374,90.4859813084112,943.392670157068,99.80628272251307,10.19842883351612,10.19842883351612,2.61751526575247
53,13,54,16,1038.2084507042252,72.41549295774648,1057.7285067873304,61.92307692307692,22.161303746218568,22.161303746218568,11.962874912702448
53,13,54,17,1038.2084507042252,72.41549295774648,1038.5274949083505,70.16293279022403,2.2750420902688075,2.2750420902688075,-19.88626165594976
54,13,55,12,792.2586206896551,57.17398119122257,753.85140562249,64.90060240963855,39.17671304063615,39.17671304063615,36.90167095036735
56,13,57,13,897.0373134328358,73.07960199004975,896.4661016949152,83.29661016949153,10.232963353218778,10.232963353218778,-28.943749687417373
57,13,58,15,896.4661016949152,83.29661016949153,885.6129032258065,79.09274193548387,11.638918555379753,11.638918555379753,1.4059552021609747
58,13,59,16,1113.0258620689656,63.43103448275862,1118.6417112299466,68.46524064171123,7.541948915878966,7.541948915878966,-4.096969639500787
59,13,60,12,1097.578431372549,62.20588235294117,1101.955497382199,67.47120418848168,6.847066589763306,6.847066589763306,-0.6948823261156605
60,13,61,12,1125.078431372549,70.23529411764706,1121.417553191489,74.24734042553192,5.431256266571533,5.431256266571533,-1.4158103231917725
61,13,62,8,728.6489028213166,78.75862068965517,729.7867298578199,71.95260663507109,6.9004693808605415,6.9004693808605415,1.4692131142890084
62,13,63,15,1004.8523985239852,95.90774907749078,994.490662139219,93.94057724957555,10.546816861400965,10.546816861400965,3.646347480540423
63,13,64,11,1078.704,86.734,1084.0917721518988,86.92088607594937,5.391012443517493,5.391012443517493,-5.155804417883472
64,13,65,9,869.7582938388625,110.3175355450237,867.8095238095239,116.6547619047619,6.63009370686488,6.63009370686488,1.239081263347387
