First Image Number,First Object Number,Second Image Number,Second Object Number,Center_X_First,Center_Y_First,Center_X_Second,Center_Y_Second,Distance,Speed_per_Hour,Acceleration
39,62,40,55,496.78985507246375,352.7898550724637,495.5259740259741,351.83116883116884,1.5863400041995461,1.5863400041995461,-1.1389388773689328
40,62,41,78,335.2279411764706,396.2279411764706,337.1573033707865,385.5337078651685,10.86687924812913,10.86687924812913,9.280539243929585
41,62,42,47,357.14102564102564,298.15384615384613,352.7974683544304,286.873417721519,12.087785385205558,12.087785385205558,1.2209061370764278
42,62,43,64,1072.5776699029127,369.2249190938512,1077.138036809816,364.6134969325153,6.4855347254978275,6.4855347254978275,-5.602250659707731
43,62,44,52,495.4266666666667,352.1933333333333,493.9685039370079,352.46456692913387,1.4831743692691293,1.4831743692691293,-5.0023603562286985
44,62,45,54,1124.7549407114625,409.30830039525694,1114.4875,404.69166666666666,11.257603907908456,11.257603907908456,9.774429538639327
45,62,46,68,1028.72,488.592,1026.5873605947954,482.36802973977694,6.579206383202483,6.579206383202483,-4.678397524705972
46,62,47,60,889.08,412.19,885.5772357723578,415.1788617886179,4.604633755893138,4.604633755893138,-1.9745726273093451
47,62,48,64,849.290909090909,463.8727272727273,850.8300970873786,463.6553398058253,1.5544635728256762,1.5544635728256762,-3.050170183067462
49,62,50,77,497.3762376237624,514.7772277227723,489.9259259259259,518.4148148148148,8.290909735795777,8.290909735795777,6.736446162970101
50,62,51,53,729.4753363228699,369.7085201793722,724.3186813186813,374.4835164835165,7.02792149478169,7.02792149478169,-1.262988241014087
51,62,52,62,402.05263157894734,514.5964912280701,402.0,509.4178082191781,5.178950452523148,5.178950452523148,-1.8489710422585421
52,62,53,74,402.0,509.4178082191781,401.1397058823529,504.86764705882354,4.630774509092103,4.630774509092103,-0.5481759434310449
53,62,54,60,723.7260273972603,376.6575342465753,732.0069444444445,379.90277777777777,8.894110001521053,8.894110001521053,4.26333549242895
55,62,56,58,327.30150753768845,520.4221105527638,326.16509433962267,525.1745283018868,4.886400456257871,4.886400456257871,-4.007709545263182
56,62,57,64,354.60164835164835,566.2307692307693,348.83641975308643,573.1851851851852,9.033369363682144,9.033369363682144,4.146968907424274
57,62,58,80,583.6455026455027,559.1798941798942,578.8483606557377,567.7213114754098,9.796345271890972,9.796345271890972,0.7629759082088281
59,62,60,74,720.925,550.5541666666667,721.3,553.6090909090909,3.0778543056732515,3.0778543056732515,-6.718490966217721
60,62,61,51,420.594,485.886,411.0,486.5445344129554,9.616574419877711,9.616574419877711,6.53872011420446
61,62,62,49,320.44059405940595,540.8960396039604,314.42857142857144,538.25,6.568557048499551,6.568557048499551,-3.04801737137816
62,62,63,93,385.48130841121497,1021.303738317757,390.1734317343173,1020.4575645756456,4.767812001436289,4.767812001436289,-1.8007450470632627
63,62,64,49,752.0738916256157,385.89162561576353,749.2325581395348,388.1337209302326,3.6194153365272466,3.6194153365272466,-1.148396664909042
64,62,65,63,317.16521739130434,524.9565217391304,309.2738853503185,520.5541401273886,9.036265004773393,9.036265004773393,5.4168496682461456
65,62,66,64,960.6510791366908,518.7446043165468,975.8639240506328,526.9462025316456,17.28284882933261,17.28284882933261,8.246583824559218
66,62,67,76,429.6646525679759,513.0876132930514,429.2624254473161,521.6819085487077,8.603702551691988,8.603702551691988,-8.679146277640623
67,62,68,57,764.170731707317,405.3353658536585,757.2923076923076,406.75384615384615,7.0231619155675356,7.0231619155675356,-1.5805406361244527
68,62,69,58,191.6005509641873,445.400826446281,190.51519756838903,442.2325227963526,3.3490506135202307,3.3490506135202307,-3.674111302047305
70,62,71,65,759.4791666666666,409.4166666666667,758.3246073298429,413.1780104712042,3.9345539109509384,3.9345539109509384,0.5855032974307077
71,62,72,52,1084.2173295454545,383.4261363636364,1095.818565400844,373.8185654008439,15.063004121936157,15.063004121936157,11.128450210985218
71,62,72,53,1084.2173295454545,383.4261363636364,1080.704641350211,381.5379746835443,3.9879986067163293,3.9879986067163293,-11.075005515219827
72,62,73,64,381.488188976378,455.0,397.57251908396944,457.0814249363868,16.21844643533359,16.21844643533359,12.23044782861726
73,62,74,68,191.25919117647055,442.8860294117647,191.3193146417445,439.4968847352025,3.3896779300910476,3.3896779300910476,-12.828768505242543
74,62,75,50,844.4157894736842,390.88421052631577,848.3027027027027,386.8972972972973,5.568085087859357,5.568085087859357,2.1784071577683095
75,62,76,69,998.7032258064517,500.4451612903226,1002.1881188118812,497.8960396039604,4.3176962180280265,4.3176962180280265,-1.2503888698313306
76,62,77,54,747.6985294117648,423.6691176470589,745.9647887323944,425.3450704225352,2.411363607780941,2.411363607780941,-1.9063326102470857
77,62,78,52,423.2061855670103,490.4656357388316,429.3823008849557,487.4849557522124,6.85775864282145,6.85775864282145,4.446395035040509
78,62,79,62,313.5009708737864,550.7747572815534,300.78186968838526,568.6203966005666,21.9144330902896,21.9144330902896,15.056674447468149
79,62,80,67,300.78186968838526,568.6203966005666,295.0182926829268,563.0045731707318,8.047129469129393,8.047129469129393,-13.867303621160206
80,62,81,61,306.19634703196346,511.5616438356165,300.83809523809526,513.9,5.846261355601703,5.846261355601703,-2.20086811352769
